umbrella,gene,subtype,label,clinical_classification,clinical_dx_code,,,,,,,,,
MD,POMT1,ADG,LGMDR11 - POMT1 related (formerly LGMD2K),MD_POMT1_ADG,lgmdr11_pomt1,,,,,,,,,
MD,POMT1,ADG,LGMDR11 POMT1 related (formerly LGMD2K),MD_POMT1_ADG,adg_lgmdr11_pomt1,,,,,,,,,
MD,POMT2,ADG,LGMDR14 - POMT2 related (formerly LGMD2N),MD_POMT2_ADG,lgmdr14_pomt2,,,,,,,,,
MD,POMT2,ADG,LGMDR14 POMT2 related (formerly LGMD2N),MD_POMT2_ADG,adg_lgmd14_pomt2,,,,,,,,,
MD,TCAP,,LGMDR07 - Telethonin (TCAP) related (formerly LGMD2G),MD_TCAP_,lgmdr07_tcap,,,,,,,,,
MD,TCAP,,LGMD2G (TCAP),MD_TCAP_,tcap_lgmd2g,,,,,,,,,
MD,TCAP,,Telethonin CMD (TCAP) ,MD_TCAP_,tcap_telethonin,,,,,,,,,
MD,TRAPPC11,ADG,Congenital Muscular Dystrophy with fatty liver and infantile-onset cataract caused by TRAPPC11 mutations,MD_TRAPPC11_ADG,adg_trappc11,,,,,,,,,
MD,TRAPPC11,ADG,LGMDR18 - TRAPPC11 related (formerly LGMD2S),MD_TRAPPC11_ADG,lgmdr18_trappc11,,,,,,,,,
MD,TRIM,,LGMDR08 - TRIM related (formerly LGMD2H),MD_TRIM_,lgmdr08_trim,,,,,,,,,
MD,UNS,ADG,Congenital Muscular Dystrophy and abnormal glycosylation of dystroglycan with severe epilepsy ,MD_UNS_ADG,adg_epilepsy,,,,,,,,,
MD,UNS,ADG,Congenital Muscular Dystrophy with hypoglycosylation of dystroglycan ,MD_UNS_ADG,adg_hypoglycosylation,,,,,,,,,
MD,UNS,ADG,Congenital Muscular Dystrophy with hypoglycosylation of dystroglycan and epilepsy ,MD_UNS_ADG,adg_hypoglycosylation_epilepsy,,,,,,,,,
MD,UNS,ADG,"Dystroglycanopathy, congenital with or without mental retardation (formerly MDC1C)",MD_UNS_ADG,adg_mdc1c,,,,,,,,,
MD,UNS,ADG,alpha-Dystroglycanopathy ,MD_UNS_ADG,adg_rd,,,,,,,,,
MD,UNS,ADG,Walker Warburg Syndrome (WWS) ,MD_UNS_ADG,adg_wws,,,,,,,,,
MD,UNS,COL6,Congenital Muscular Dystrophy with joint hyperlaxity ,MD_UNS_COL6,cmd_hyperlaxity,,,,,,,,,
MD,UNS,COL6,"Bethlem Myopathy (BM, BETHLM) ",MD_UNS_COL6,col6_bethlem,,,,,,,,,
MD,UNS,COL6,Intermediate Collagen VI ,MD_UNS_COL6,col6_intermediate,,,,,,,,,
MD,UNS,COL6,Collagen VI Related Disorders ,MD_UNS_COL6,col6_rd,,,,,,,,,
MD,UNS,COL6,Ullrich CMD - UCMD ,MD_UNS_COL6,col6_ullrich,,,,,,,,,
MD,UNS,COL6,LGMDD05 - Collagen VI related Bethlem Myopathy (dominant),MD_UNS_COL6,lgmdd05_col6,,,,,,,,,
MD,UNS,COL6,LGMDD5 Collagen VI related Bethlem Myopathy (dominant),MD_UNS_COL6,col6_lgmdd5,,,,,,,,,
MD,UNS,COL6,LGMDR22 - Collagen VI related Bethlem Myopathy (recessive),MD_UNS_COL6,lgmdr22_col6,,,,,,,,,
MD,UNS,COL6,LGMDR22 Collagen VI related Bethlem Myopathy (recessive),MD_UNS_COL6,col6_lgmdr22,,,,,,,,,
MD,UNS,EDMD,"Emery Dreifuss MD, EDMD ",MD_UNS_EDMD,edmd_rd,,,,,,,,,
MD,UNS,MEB,"Muscle-Eye-Brain Disease (MEB, MDDGA14)",MD_UNS_MEB,adg_meb,,,,,,,,,
MD,UNS,UKN,Congenital Muscular Dystrophy Not Otherwise Specified (Including Merosin Positive) ,MD_UNS_UKN,cmd_nos,,,,,,,,,
MD,UNS,UKN,Congenital Muscular Dystrophy ,MD_UNS_UKN,cmd_rd,,,,,,,,,
MD,UNS,UKN,Limb-Girdle Muscular Dystrophy ,MD_UNS_UKN,lgmd_rd ,,,,,,,,,
MS,CHAT,,Congenital myasthenic syndrome with choline acetyltransferase deficiency - CMS-EA ,MS_CHAT_,cms_ea,,,,,,,,,
MS,COL13,,Collagen XIII Related Congenital Myasthenic Syndrome ,MS_COL13_,cms_col13,,,,,,,,,
MS,COLQ,,Congenital myasthenic syndrome with endplate acetylcholinesterase deficiency - EAD ,MS_COLQ_,cms_ead,,,,,,,,,
MS,SYT2,,Distal motor neuropathy related to SYT2,MS_SYT2_,cms_syt2,,,,,,,,,
MS,UNS,,Congenital Myasthenic Syndrome - CMS ,MS_UNS_,cms_rd,,,,,,,,,
MS,UNS,CMS1B,Familial limb girdle myasthenia - CMS1B,MS_UNS_CMS1B,cms_1b,,,,,,,,,
MS,UNS,CMS1D,"Myasthenic syndrome, congenital - CMS1D",MS_UNS_CMS1D,cms_1d,,,,,,,,,
MS,UNS,CMS1E,"Myasthenic syndrome, congenital, Ie, included - CMS1E",MS_UNS_CMS1E,cms_1e,,,,,,,,,
MS,UNS,CMSTA,Familial limb girdle myasthenia with tubular aggregates - CMSTA ,MS_UNS_CMSTA,cms_ta,,,,,,,,,
MS,UNS,ES,Escobar Syndrome (multiple pterygium syndrome) - EVMPS ,MS_UNS_ES,cms_escobar,,,,,,,,,
MS,UNS,FCCMS,"Myasthenic syndrome, fast-channel congenital - FCCMS ",MS_UNS_FCCMS,cms_fc,,,,,,,,,
MS,UNS,FIMG,"Myasthenia gravis, familial infantile - FIMG ",MS_UNS_FIMG,cms_fimg,,,,,,,,,
MS,UNS,LEMS,Lambert-Eaton Myasthenic Syndrome (LEMS) ,MS_UNS_LEMS,cms_lems,,,,,,,,,
MS,UNS,MYSPC,"Myasthenic syndrome, presynaptic, congenital, with or without motor neuropathy - MYSPC ",MS_UNS_MYSPC,cms_myspc,,,,,,,,,
MS,UNS,SCCMS,"Myasthenic syndrome, slow-channel congenital - SCCMS ",MS_UNS_SCCMS,cms_sc,,,,,,,,,
MY,ACTA1,,Actin Aggregation Myopathy ,MY_ACTA1_,acta1_cm,,,,,,,,,
MY,ACTA1,,ACTA1 Related MMD,MY_ACTA1_,acta1_mmd,,,,,,,,,
MY,ACTA1,,ACTA1 Related Cap,MY_ACTA1_,cap_acta1,,,,,,,,,
MY,ACTA1,CFTD,Congenital Fiber Type Disproportion - CFTD (ACTA1),MY_ACTA1_CFTD,acta1_nm,,,,,,,,,
MY,ACTN2,,ACTN2 Related Congenital Myopathy,MY_ACTN2_,actn2_mscd,,,,,,,,,
MY,ACTN2,,Multiple Structured Core Disease (MsCD) ,MY_ACTN2_,mscd_rd,,,,,,,,,
MY,ADSS1,DMY,Distal Myopathy 5 - MPD5 (ADSS1/ADSSL1),MY_ADSS1_DMY,adss1_mpd5,,,,,,,,,
MY,ATP2A1,,Brody Myopathy (ATP2A1),MY_ATP2A1_,atp2a1_brody,,,,,,,,,
MY,BIN1,CNM,BIN1 Related CNM,MY_BIN1_CNM,cnm_bin1,,,,,,,,,
MY,CACN1S,,Congenital Myopathy with ophthalmopelgia (CACN1S),MY_CACN1S_,cacna1s_ophthal_rm,,,,,,,,,
MY,CACNA1S,,CACNA1S Related Myopathy,MY_CACNA1S_,cacna1s_rm,,,,,,,,,
MY,CCDC78,CNM,CCDC78-Related Centronuclear Myopathy,MY_CCDC78_CNM,ccdc78_cnm,,,,,,,,,
MY,CNTN1,,CNTN1-Related Congenital Myopathy,MY_CNTN1_,cntn1_rm,,,,,,,,,
MY,DES,MFM,DES related Myofibrillar Myopathy (formerly LGMD1E or LGMD2R),MY_DES_MFM,des_mfm_lgmd1e_lgmd2r,,,,,,,,,
MY,DNAJB6,MFM,DNAJB6 related Myofibrillar Myopathy (formerly LGMD1D),MY_DNAJB6_MFM,dnajb6_mfm_lgmd1d,,,,,,,,,
MY,DNM2,,Dynamin 2 CMD/CM,MY_DNM2_,cnm_dnm2,,,,,,,,,
MY,DNM2,CNM,CNM1,MY_DNM2_CNM,cnm_1,,,,,,,,,
MY,FHL1,,FHL1 Related Myopathy,MY_FHL1_,fhl1_cm,,,,,,,,,
MY,FHL1,RBM,Reducing Body Myopathy ,MY_FHL1_RBM,reducing_body_cm,,,,,,,,,
MY,HNRNPA1,IBM,Isolated inclusion body myopathy - IBMPFD3 (HNRNPA1),MY_HNRNPA1_IBM,ibmpfd3_hnrnpa1,,,,,,,,,
MY,ITGA7,,Alpha 7 Integrin Related Myopathy (ITGA7),MY_ITGA7_,itga7_cm,,,,,,,,,
MY,ITGA7,,Alpha 7 Integrin Related CMD (ITGA7),MY_ITGA7_,itga7_cmd,,,,,,,,,
MY,MTM1,CNM,"Myotubular Myopathy, X-linked - XLMTM/MTM1",MY_MTM1_CNM,cnm_mtm1,,,,,,,,,
MY,MYH2,,"Myopathy with joint contractures, ophtalmoplegia, and rimmed vacuoles - IBM3 (MYH2)",MY_MYH2_,myh2_ibm3,,,,,,,,,
MY,MYH2,,Myopathy proximal to ophthalmoplegia (MYH2),MY_MYH2_,myh2_ophthal,,,,,,,,,
MY,MYH2,CFTD,Congenital Fiber Type Disproportion - CFTD (MYH2),MY_MYH2_CFTD,myh2_cftd,,,,,,,,,
MY,MYH7,,Myosin Storage Congenital Myopathy (MYH7),MY_MYH7_,myh7_cm,,,,,,,,,
MY,MYH7,,Myosin Storage Myopathy ,MY_MYH7_,myh7_cm,,,,,,,,,
