label,clinical_dx_code
Lambert-Eaton Myasthenic Syndrome (LEMS) ,cms_lems
Laminopathy (Lamin A/C) ,lmna_laminopathy
Left ventricular noncompaction 4 - LVNC4 (ACTA1),lvnc4_acta1_nm
Left ventricular noncompaction 5 - LVNC5 (MYH7),myh7_lvnc5_cm
LGMD related to KBTBD13,lgmd_kbtbd13_nm
LGMD2G (TCAP),tcap_lgmd2g
LGMD2J,ttn_lgmd2j
LGMDD01 - DNAJB6 related (formerly LGMD1D),lgmdd01_dnajb6
LGMDD05 - Collagen VI related Bethlem Myopathy (dominant),lgmdd05_col6
LGMDD5 Collagen VI related Bethlem Myopathy (dominant),col6_lgmdd5
LGMDR07 - Telethonin (TCAP) related (formerly LGMD2G),lgmdr07_tcap
LGMDR08 - TRIM related (formerly LGMD2H),lgmdr08_trim
LGMDR09 - FKRP related (formerly LGMD2I),lgmdr09_fkrp
LGMDR09 FKRP Related (formerly LGMD2I),adg_fkrp_lgmdr09
LGMDR10 - Titin (TTN) related (formerly LGMD2J),lgmdr10_ttn
LGMDR10 (Formerly LGMD2J),ttn_lgmdr10
LGMDR11 - POMT1 related (formerly LGMD2K),lgmdr11_pomt1
LGMDR11 POMT1 related (formerly LGMD2K),adg_lgmdr11_pomt1
LGMDR13 - Fukutin (FKTN) related (formerly LGMD2M),lgmdr13_fktn
LGMDR13 FKTN Related (formerly LGMD2M),adg_lgmdr13_fktn
LGMDR14 - POMT2 related (formerly LGMD2N),lgmdr14_pomt2
LGMDR14 POMT2 related (formerly LGMD2N),adg_lgmd14_pomt2
LGMDR15 - POMGnT1 related (formerly LGMD2O),lgmdr15_pomgnt1
LGMDR15 POMGnT1 related (formerly LGMD2O),adg_lgmdr15_pomgnt1
LGMDR16 - DAG1 related Dystroglycanopathy (formerly LGMD2P),lgmdr16_dag1
LGMDR17 - Plectin (PLEC) related (formerly LGMD2Q),lgmdr17_plec
LGMDR17 PLEC related (formerly LGMD2Q),plec_lgmdr17
LGMDR18 - TRAPPC11 related (formerly LGMD2S),lgmdr18_trappc11
LGMDR19 - GMPPB related (formerly LGMD2T),lgmdr19_gmppb
LGMDR19 GMPPB Related (formerly LGMD2T),adg_lgmd19_gmppb
LGMDR19 GMPPB related (formerly LGMD2T/MDDGC14),gmppb_lgmdr19
LGMDR20 - ISPD related (formerly LGMD2U),lgmdr20_ispd
LGMDR20 ISPD related (formerly LGMD2U),adg_lgmdr20_ispd
LGMDR22 - Collagen VI related Bethlem Myopathy (recessive),lgmdr22_col6
LGMDR22 Collagen VI related Bethlem Myopathy (recessive),col6_lgmdr22
LGMDR23,lama2_lgmdr23
LGMDR23 - LAMA2 related,lgmdr23_lama2
LGMDR24 - POMGnT2 related,lgmdr24_pomgnt2
LGMDR24 POMGnT2 related,adg_lgmdr24_pomgnt2
Limb-Girdle Muscular Dystrophy ,lgmd_rd 
LMNA Related Disorders ,lmna_rd
LMNA related Emery-Dreifuss MD (EDMD) (formerly LGMD1B),lmna_lgmd1b_edmd
LMNA/EDMD Related Heart Conditions (LMNA) ,lmna_edmd_heart
Malignant Hyperthermia susceptibility - MHS1 (RYR1),ryr1_mhs1
MDC1A,lama2_mdc1a
